,source sentence,source paragraph,Subject,Verb,Object
10,All these entities likely play a role in how each individual experiences pain.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",the role,played,by multiple entities that are likely involved in how each individual experiences pain
11,All these entities likely play a role in how each individual experiences pain.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",involvement of multiple entities,is likely to contribute,unique experience of pain for each individual
12,"A patient's personal history also includes personal preferences, expectations, and habits such as sleep schedule, clothing choices, and diet.","The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",patient's personal history,includes,"personal preferences, expectations, and habits"
13,"A patient's personal history also includes personal preferences, expectations, and habits such as sleep schedule, clothing choices, and diet.","The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.","personal preferences, expectations, and habits",can include,"things like sleep schedule, clothing choices, and diet"
14,How pain is experienced in each individual is likely influenced by all these entities.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",pain,is experienced,differently by each individual
15,How pain is experienced in each individual is likely influenced by all these entities.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",the experience of pain,is,likely influenced by various factors
16,How pain is experienced in each individual is likely influenced by all these entities.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",various factors,can include,different entities
17,"A patient's personal history includes social history, which encompasses alcohol, tobacco, and substance use.","The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",patient's personal history,includes,social history
18,"A patient's personal history includes social history, which encompasses alcohol, tobacco, and substance use.","The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",social history,encompasses,alcohol use
19,"A patient's personal history includes social history, which encompasses alcohol, tobacco, and substance use.","The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",social history,encompasses,tobacco use
20,"A patient's personal history includes social history, which encompasses alcohol, tobacco, and substance use.","The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",social history,encompasses,substance use
21,Each individual likely experiences pain based on the contributions of all these entities.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",pain,is experienced,by each individual
22,Each individual likely experiences pain based on the contributions of all these entities.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",the experience of pain,is influenced by,the contributions of all these entities
23,The medical history of the patient's isolated and chronic illnesses is important.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",the patient,has,isolated and chronic illnesses
24,The medical history of the patient's isolated and chronic illnesses is important.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",the medical history,is,important
25,A patient's personal history includes their insurance status.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",a patient's personal history,is,a collection of information about them
26,A patient's personal history includes their insurance status.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",one aspect of a patient's personal history,is,their insurance status
27,A patient's personal history includes their marital status.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",a patient's personal history,is,a collection of information about them
28,A patient's personal history includes their marital status.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",one aspect of a patient's personal history,is,their marital status
29,A patient's personal history includes their occupation.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",a patient's personal history,is,a collection of information about their life
30,A patient's personal history includes their occupation.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",one aspect,is,occupation
31,A patient's personal history includes their occupation.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",the occupation,refers to,the job or profession that the patient is engaged in
32,A patient's personal history includes their occupation.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",occupation,refers to,the job or profession that the patient is engaged in
33,A patient's personal history includes their occupation.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",the patient's occupation,is,an important detail to consider when assessing their overall health and well-being
34,A patient's personal history includes their employment status.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",a patient's personal history,is,a record of their past experiences and background information
35,A patient's personal history includes their employment status.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",one aspect,is,their employment status
36,A patient's personal history includes their employment status.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",employment status,refers to,"whether the patient is currently employed, unemployed, or retired"
37,A patient's personal history includes their employment status.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",employment status,is,important for understanding the patient's financial situation and potential sources of stress or support
38,The neural control subsystem also plays a role in biomechanically stabilizing the spinal column.,"The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",the neural control subsystem,is involved in,stabilizing the spinal column
39,The neural control subsystem also plays a role in biomechanically stabilizing the spinal column.,"The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",the neural control subsystem,has,a role in biomechanically stabilizing the spinal column
40,Stress on local muscle spindles and joint receptors in the painful area results from stress to a joint caused by an individual's maladaptive movement.,"The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",stress,is placed on,local muscle spindles and joint receptors
41,Stress on local muscle spindles and joint receptors in the painful area results from stress to a joint caused by an individual's maladaptive movement.,"The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",stress,occurs,in the painful area
42,Stress on local muscle spindles and joint receptors in the painful area results from stress to a joint caused by an individual's maladaptive movement.,"The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",stress,is caused by,an individual's maladaptive movement
43,Stress on local muscle spindles and joint receptors in the painful area results from stress to a joint caused by an individual's maladaptive movement.,"The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",an individual maladaptive movement,leads to,stress on a joint
44,Muscle recruitment is included in motor control and function.,"The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",muscle recruitment,is,a component of motor control and function
45,Muscle recruitment is included in motor control and function.,"The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",motor control and function,encompass,muscle recruitment
46,Strength is included in motor control and function.,"The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",motor control and function,involve,strength
47,Strength is included in motor control and function.,"The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",strength,is,a component of motor control and function
48,"Researchers have linked changes in muscle activity to spinal pain, specifically the muscle-tension or pain-spasm-pain model.","The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",changes in muscle activity,have been linked to,spinal pain
49,"Researchers have linked changes in muscle activity to spinal pain, specifically the muscle-tension or pain-spasm-pain model.","The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",the specific model,explains,linked
50,"Researchers have linked changes in muscle activity to spinal pain, specifically the muscle-tension or pain-spasm-pain model.","The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",muscle tension or spasms,can cause,pain in the spine
51,"Presumably, movement and control disorders lead to a proprioceptive deficit.","The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",movement and control disorders,are,conditions that affect a person's ability to move and control a person's body
52,"Presumably, movement and control disorders lead to a proprioceptive deficit.","The spinal column is biomechanically stabilized by three subsystems: 1) passive subsystem that includes bone, cartilage, ligaments, intervertebral disc; 2) active subsystem that includes the paraspinal muscles; and 3) the neural control subsystem. three subsystems are often conceptualized separately, but the paraspinal are functionally interdependent. Motor control and function include muscle recruitment, strength, and endurance. An important feedback component of neuromotor control is proprioception, which refers to afferent information arising from internal peripheral areas that contribute to postural control, joint stability, and several conscious sensations. Movement and control disorders presumably lead to a proprioceptive deficit, because of stress on local muscle spindles and joint receptors in the painful area resulting from stress to a joint caused by an individual’s maladaptive movement. Subsequently, abnormal joint and tissue loading during daily activities and postures may affect local proprioceptors and maintain this vicious cycle. Changes in muscle activity have been linked to spinal pain (muscle-tension or pain-spasm-pain model) or restriction of spinal motion (pain adaptation).",movement and control disorders,can result in,a deficit in proprioception
