URL	PDF location on VM	PMID	Downloaded by	Comments	Text location on VM
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5555416/	/mnt/clbp/pdfs/nihms861706.pdf	28438806	Gianna Bozzo 	pnad009.pdf (#20)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5118702/	/mnt/clbp/pdfs/fneur-07-00198.pdf	27920753	Gianna Bozzo 	pnad009.pdf (#21)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9397030/	/mnt/clbp/pdfs/proteomes-10-00026.pdf	35997438	Gianna Bozzo 	pnad009.pdf (#23)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4535975/	/mnt/clbp/pdfs/pone.0135365.pdf	26270474	Gianna Bozzo 	pnad009.pdf (#24)	
https://www.painphysicianjournal.com/current/pdf?article=NzEyNg%3D%3D&journal=130	2020;23;E429-E440.pdf	26726723	Courtney Baird	PubMed had no available abstract, so had to use other source to get PDF	pnac2
https://pubmed.ncbi.nlm.nih.gov/30096445/	nihms-1754141.pdf	30096445	Courtney Baird		pnac3
https://pubmed.ncbi.nlm.nih.gov/30208400/	nihms-989127.pdf	30208400	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/28813584/		28813584	Courtney Baird	Couldn't find PDF 	
https://pubmed.ncbi.nlm.nih.gov/22553896/		22553896	Courtney Baird	Couldn't download PDF - needed MyNAP account?	
https://pubmed.ncbi.nlm.nih.gov/28763410/		28763410	Courtney Baird	Couldn't download PDF 	
https://pubmed.ncbi.nlm.nih.gov/29870441/		29870441	Courtney Baird	Couldn't download PDF 	
https://pubmed.ncbi.nlm.nih.gov/34856579/		34856579	Courtney Baird	Couldn't download full PDF	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955818/	nihms955778.pdf	29521813	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/32569762/		32569762	Courtney Baird	Have to purchase the PDF	
https://pubmed.ncbi.nlm.nih.gov/24296482/		24296482	Courtney Baird	Couldn't find full PDF	
https://pubmed.ncbi.nlm.nih.gov/30045343/		30045343	Courtney Baird	Couldn't find full PDF	
https://pubmed.ncbi.nlm.nih.gov/29516096/	Functional Outcomes After Lumbar Surgery	29516096	Courtney Baird	Was able to save full text, but not as PDF? - Can go back in and convert to PDF later through adobe, but not sure how to do that on server	
https://pubmed.ncbi.nlm.nih.gov/26192725/		26192725	Courtney Baird	Have to purchase the PDF	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8567777/	orthopedicreviews_2021_13_2_24978.pdf	34745473	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/30223089/	PIIS1529943018311343.pdf	30223089	Courtney Baird		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5902353/	11606_2018_Article_4364.pdf	29633134	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/26977696/	nihms-1008876.pdf	26977696	Courtney Baird		
https://www.iprcc.nih.gov/node/5/national-pain-strategy-report	NationalPainStrategy_508C.pdf	N/A	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/26555833/		26555833	Courtney Baird	Full text only available to download as word doc & couldn't in server	
https://pubmed.ncbi.nlm.nih.gov/10781906/		10781906	Courtney Baird	Link to get PDF full text - 401 Error	
https://pubmed.ncbi.nlm.nih.gov/17218132/	Self‐efficacy mediates the relation between pain‐related fear and outcome in chronic low back pain patients.pdf	17218132	Courtney Baird	Saved PDF as a file & then saved correctly - need to go back and delete repeat	
https://pubmed.ncbi.nlm.nih.gov/28968567/		28968567	Courtney Baird	Have to pay to get full PDF	
https://pubmed.ncbi.nlm.nih.gov/10593107/	1-s2.0-S1356689X99901996-main.pdf	10593107	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/19150750/		19150750	Courtney Baird	Have to purchase or subscribe to PAIN	
https://pubmed.ncbi.nlm.nih.gov/19948949/	pnas.200906186.pdf	19948949	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/34326292/		34326292	Courtney Baird	Have to purchase or subscribe to PAIN	
https://pubmed.ncbi.nlm.nih.gov/31823442/	European Journal of Pain - 2019 - Petzke - Opioids for chronic low back pain An updated systematic review and.pdf	31823442	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/23988582/	nihms-541097.pdf	23988582	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/30213672/	1-s2.0-S1878875018320382-main.pdf	30213672	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/24237581/	2045-709X-21-40.pdf	24237581	Courtney Baird		
https://bmcmusculoskeletdisord.biomedcentral.com/articles/10.1186/s12891-021-04622-w	s12891-021-04622-w.pdf	N/A	Courtney Baird	Find PMID	
https://pubmed.ncbi.nlm.nih.gov/27993558/	nihms844960.pdf	27993558	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/16054407/	European Journal of Pain - 2012 - Jensen - 10‐year follow‐up of chronic non‐malignant pain patients Opioid use health.pdf	16054407	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/24211099/	1-s2.0-S1529943013012096-main.pdf	24211099	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/26101845/	nihms705158.pdf	26101845	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/20354468/		20354468	Courtney Baird	Have to buy PDF	
https://pubmed.ncbi.nlm.nih.gov/27053222/	s10143-016-0720-0.pdf	27053222	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/28832441/		28832441	Courtney Baird	Have to buy PDF	
https://pubmed.ncbi.nlm.nih.gov/34613379/	pnab292.pdf	34613379	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/29186635/	Identification of Indirect Effects in a Cognitive Patient Education (COPE) Intervention for Low Back Pain - PMC	29186635	Courtney Baird	Saved as a file, but couldn't find as PDF	
https://pubmed.ncbi.nlm.nih.gov/27257859/	nihms-790749.pdf	27257859	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/24547803/	amp-a0035623.pdf	24547803	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/22161025/	nihms512860.pdf	22161025	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/24491075/	nihms582118.pdf	24491075	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/27037786/	nihms756679.pdf	27037786	Courtney Baird		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7736195/	nihms-1638351.pdf	33070057	Courtney Baird		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6795512/	aax1569.pdf	31663023	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/32338846/	Bookshelf_NBK556229.pdf	32338846	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/33247353/	s00586-020-06661-8.pdf	33247353	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/34397527/	ejanet-38-985.pdf	34397527	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/35226053/	Mindfulness-Oriented Recovery Enhancement vs Supportive Group Therapy for Co-occurring Opioid Misuse and Chronic Pain in Primary Care - PMC	35226053	Courtney Baird	Couldn't save as PDF, but saved file	
https://pubmed.ncbi.nlm.nih.gov/31556669/	nihms-1017629.pdf	31556669	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/24845547/		24845547	Courtney Baird	Have to purchase for PDF	
https://pubmed.ncbi.nlm.nih.gov/34508905/	1-s2.0-S1526590021003217-main.pdf	34508905	Courtney Baird	May have saved multiple times	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2686775/	11606_2009_Article_981.pdf	19418100	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/20856144/	nihms752126.pdf	20856144	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/26807536/	nihms-743093.pdf	26807536	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/20685078/	nihms203741.pdf	20685078	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/17339617/		17339617	Courtney Baird	Requires subscription to access PDF	
https://pubmed.ncbi.nlm.nih.gov/14583691/		14583691	Courtney Baird	Have to subscribe/buy PDF	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5570743/	11606_2017_Article_4079.pdf	28550609	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/25766681/		25766681	Courtney Baird	Requires Subscription or payment for full PDF	
https://pubmed.ncbi.nlm.nih.gov/30212442/	mm6736a2.pdf	30212442	Courtney Baird		
https://www.researchgate.net/signup.SignUp.html			Courtney Baird	Can request text from author?	
https://content.sph.harvard.edu/fitzmaur/ala2e/			Courtney Baird	This is a book	
https://pubmed.ncbi.nlm.nih.gov/11701584/	1123.pdf	11701584	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/20020423/	LuCovarianceSIM2009.pdf	20020423	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/20479643/	nihms-640247.pdf	20479643	Courtney Baird		
https://www.wiley.com/en-us/Statistical+Analysis+with+Missing+Data%2C+2nd+Edition-p-9781119013563			Courtney Baird	This is a book	
https://pubmed.ncbi.nlm.nih.gov/17621469/	van-buuren-2007-multiple-imputation-of-discrete-and-continuous-data-by-fully-conditional-specification	17621469	Courtney Baird		
https://www.jstor.org/stable/2291635	Rubin-MultipleImputation18-1996.pdf	N/A	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/33714488/	1-s2.0-S1360859220302175-main.pdf	33714488	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/27551408/	10.1177_2049463715587117.pdf	27551408	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/35185246/	ptc-2020-0066.pdf	35185246	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/17908130/	Journal of Advanced Nursing - 2007 - Spillane - Monitoring treatment fidelity in a randomized controlled trial of a complex.pdf	17908130	Courtney Baird		pnac138 (#78)
https://www.sciencedirect.com/science/article/pii/S1529943007010017?via%3Dihub	/mnt/clbp/pdfs/1-s2.0-S1529943007010017-main.pdf	18201937	Gianna Bozzo 	pnad009.pdf (#25) 	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7006726/	/mnt/clbp/pdfs/YJMT_28_1572986.pdf	30935324	Gianna Bozzo 	pnad009.pdf (#26)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4096432/	/mnt/clbp/pdfs/1471-2474-15-229.pdf	25012528	Gianna Bozzo 	pnad009.pdf (#27)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6427361/	/mnt/clbp/pdfs/sensors-19-01021.pdf	30823373	Gianna Bozzo 	pnad009.pdf (#30)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7757644/	/mnt/clbp/pdfs/ijt-12-2-27.pdf	33520092	Gianna Bozzo 	pnad009.pdf (#31) 	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5161656/	/mnt/clbp/pdfs/nihms819740.pdf	27741022	Gianna Bozzo 	pnad009.pdf (#34) 	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6032516/	/mnt/clbp/pdfs/nihms945575.pdf	29470715	Gianna Bozzo 	pnad009.pdf (#36)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2668117/	/mnt/clbp/pdfs/nihms94235.pdf	18434230	Gianna Bozzo 	pnad009.pdf (#37)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3072582/	/mnt/clbp/pdfs/nihms282466.pdf	16813452	Gianna Bozzo 	pnad009.pdf (#38)	
https://journals.lww.com/spinejournal/Abstract/2011/08010/Kinematics_of_Cervical_Total_Disc_Replacement.5.aspx	/mnt/clbp/pdfs/Kinematics_of_Cervical_Total_Disc_Replac.pdf	21629170	Gianna Bozzo 	Could only access full article through PDF. URL does not go to full article 	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4114477/	/mnt/clbp/pdfs/PDF.pdf	25100682	Gianna Bozzo 	pnad009.pdf (#40) 	
https://bmjopen.bmj.com/content/11/6/e050545.long	/mnt/clbp/pdfs/e050545.full.pdf	34130965	Mayumi Paraiso	pnac202.pdf (#5)	
https://www.publichealth.it/wp-content/uploads/2020/05/3.-Validation-of-a-combined-comorbidity-index.pdf	/mnt/clbp/pdfs/3.-Validation-of-a-combined-comorbidity-index.pdf	7722560	Mayumi Paraiso	pnac202.pdf (#6) 	
https://academic.oup.com/aje/article/173/6/676/182985?login=false	/mnt/clbp/pdfs/kwq433.pdf	21330339	Mayumi Paraiso	pnac202.pdf (#7)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8177096/	/mnt/clbp/pdfs/nihms-1537073.pdf	31154033	Mayumi Paraiso	pnac202.pdf (#8)	
https://web-p-ebscohost-com.calpoly.idm.oclc.org/ehost/pdfviewer/pdfviewer?vid=0&sid=047aba43-2a30-4726-8ed6-d118234c081e%40redis	/mnt/clbp/pdfs/pnac196_1.pdf	N/A	Mayumi Paraiso	pnac196copy.pdf (#1)	
https://www-sciencedirect-com.calpoly.idm.oclc.org/science/article/pii/S0140673616309709	/mnt/clbp/pdfs/pnac196_2.pdf	27745712	Mayumi Paraiso	pnac196copy.pdf (#2)	
https://www-sciencedirect-com.calpoly.idm.oclc.org/science/article/pii/S014067361830480X	/mnt/clbp/pdfs/pnac196_3.pdf	29573870	Mayumi Paraiso	pnac196copy.pdf (#3)	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5012303/	/mnt/clbp/pdfs/pnac196_4.pdf	27586832	Mayumi Paraiso	pnac196copy.pdf (#4)	
https://academic.oup.com/painmedicine/advance-article/doi/10.1093/pm/pnac202/6978204	/mnt/clbp/pdfs/pnac202.pdf	36622041	Gianna Bozzo 	Could only access full article through PDF. URL does not go to full article	
https://www.sciencedirect.com/science/article/pii/S1526590021003217?via%3Dihub	/mnt/clbp/pdfs/1-s2.0-S1526590021003217-main.pdf	34508905	Gianna Bozzo 	pnad008.pdf (#4) 	
https://link.springer.com/article/10.1007/s10926-012-9413-x	/mnt/clbp/pdfs/s10926-012-9413-x.pdf	23263734	Gianna Bozzo 	pnad008.pdf (#9) 	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6191984/	/mnt/clbp/pdfs/A-history-of-low-back.pdf	30356910	Gianna Bozzo 	pnad008.pdf (#10) 	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6161016/	/mnt/clbp/pdfs/Kinematic-measures.pdf	29684790	Gianna Bozzo 	pnad008.pdf (#8)	
https://pubmed.ncbi.nlm.nih.gov/36370080/	/mnt/clbp/pdfs/pnac175.pdf	36370080	Gianna Bozzo 	full link only available as PDF 	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5073566/	/mnt/clbp/pdfs/bmjopen-2016-012070.pdf	27798002	Gianna Bozzo 	pnad008.pdf (#15) 	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411039/	/mnt/clbp/pdfs/pone.0176372.pdf	28459826	Gianna Bozzo 	pnad008.pdf (#16) 	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1466742/	/mnt/clbp/pdfs/pnac196_5.pdf	15576544	Mayumi Paraiso	pnac196copy.pdf (#5)	
https://www.tandfonline.com/doi/full/10.1080/20476965.2022.2029584	/mnt/clbp/pdfs/pnac196_6.pdf	N/A	Mayumi Paraiso	pnac196copy.pdf (#6)	
https://pubmed.ncbi.nlm.nih.gov/24665116/	968.full.pdf	24665116	Courtney Baird		pnac163 (#1)
https://pubmed.ncbi.nlm.nih.gov/34115979/	1-s2.0-S0140673621007339-main.pdf	34115979	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/28355981/	jospt.2017.7415.pdf	28355981	Courtney Baird		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7599507/	sensors-20-05750.pdf	33050438	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/30496104/	main (1).pdf	30496104	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/24151223/	Physiotherapy Res Intl - 2013 - Lygren - Do ICF Core Sets for Low Back Pain Include Patients  Self‐Reported Activity.pdf	24151223	Courtney Baird		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8500373/	ajp-37-812.pdf	34475338	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/30889235/	pnz021.pdf	30889235	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/16047209/	586_2005_Article_925.pdf	16047209	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/12832167/		12832167	Courtney Baird	Pushed me to a 9 article zip file I couldn't open/download	
https://pubmed.ncbi.nlm.nih.gov/24328452/		24328452	Courtney Baird	Need to purchase PDF	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2078289/	586_2006_Article_298.pdf	17342512	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/34640360/	jcm-10-04342.pdf	34640360	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/32364465/	YJMT_28_1758520.pdf	32364465	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/34542672/	s00586-021-06990-2.pdf	34542672	Courtney Baird		
https://www.researchgate.net/publication/303425087_Preparatory_brain_activity_and_anticipatory_postural_adjustments_accompanied_by_externally_cued_weighted-rapid_arm_rise_task_in_non-specific_chronic_low_back_pain_patients_and_healthy_subjects/link/5742d3a208ae9f741b378f00/download	Preparatory_brain_activity_and_anticipatory_postur.pdf	N/A	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/23349066/	European Journal of Pain - 2013 - Hodges - New insight into motor adaptation to pain revealed by a combination of modelling.pdf	23349066	Courtney Baird		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7955136/	41598_2021_Article_84034.pdf	33712658	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/1863921/		1863921	Courtney Baird	Didn't have access to PDF	
https://pubmed.ncbi.nlm.nih.gov/34062144/	1-s2.0-S0140673621003925-main.pdf	34062144	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/22673479/		22673479	Courtney Baird	Need to buy PDF	
https://pubmed.ncbi.nlm.nih.gov/24709625/		24709625	Courtney Baird	Need to buy PDF	
https://pubmed.ncbi.nlm.nih.gov/36622041/	pnac202 (1).pdf	36622041	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/27431280/	marras-et-al-2016-the-contribution-of-biomechanical-biological-interactions-of-the-spine-to-low-back-pain.pdf	27431280	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/31160632/	41598_2019_Article_44664.pdf	31160632	Courtney Baird		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7344521/	diagnostics-10-00426.pdf	32599741	Courtney Baird		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8000067/	life-11-00226.pdf	33802214	Courtney Baird		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7187545/	jpr-13-795.pdf	32425585	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/25981205/	s00586-015-4004-0.pdf	25981205	Courtney Baird		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7739608/	fspor-01-00067 (1).pdf	33344990	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/30566577/	ptj_99_4_457.pdf	30566577	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/18838331/	1-s2.0-S1356689X08001380-main.pdf	18838331	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/8725925/		8725925	Courtney Baird	Need to buy PDF	
https://pubmed.ncbi.nlm.nih.gov/11725237/		11725237	Courtney Baird	Need to buy PDF	
https://pubmed.ncbi.nlm.nih.gov/14749195/	1-s2.0-S1529943003004248-main.pdf	14749195	Courtney Baird		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5485332/	JHE2017-6294503.pdf	29065628	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/21349614/	1-s2.0-S0268003311000209-main.pdf	21349614	Courtney Baird		
https://watermark.silverchair.com/pnac163.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAA5kwggOVBgkqhkiG9w0BBwagggOGMIIDggIBADCCA3sGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMaNsIvlrZhihtGuWLAgEQgIIDTHZblE6-HA_9yScRu5KGYTBbuwuFGtyzbd85rMwbEEAaovyVzn5n1JBepLhItkeTNZG2SXJQtr-SmKrwxph4ytpIm5IW8nwhKgRBZdjP3oMVni8Z_BJJ9K8RzcC7nwlNiYUUeu33QgX0Oz02P6-2zlw7UlCQ-OP7HktawOIFkVyeO3Xl5xbxTOAKmazDIa--sCLtlMzw8c37WVaV0cvKNtThS3I9DFVxeNq-0UaN_BBnAMuLA6gI2tofrqEwimZkaUAtvwTOin_ZlQbyN3UnlKJGvTOw_2dm5qgXjmIr6oGqXTCANW9loKrd73o8pDWg7DH5Farr9Jm7MIA0fey6lzPjCHHThLyoB05lcv60svcb7loPnwTB6GFrQUwhQ6DdtxQlxAXUPfGzi5RoP26pCYQynZ0k6dT46Qam-kLvHiTBhr0izcItLc7ZsxL8wILMthNvAKZ-viy69Nv2zowCxK1JRKLvQ1O3uHQ39u-NOJJUlUtlNUJ7dafcoErTrsNSBu6VdTPtIYnAEDSmyh1g7AKF2yWiGa14a_uPengB3hFRgaJMakLTD1eFwawmGWR44t82QrbjMIBdPEJXaYgb-x-m98jWwcABBYl-aTI02KuGh42M1AWvjfufNyHObzDQSANNvYuZyJfhlcbukPtQilVmpkQIHMs9KyebPm34Gvel1gGEgrXkV7Cy97iBqQ8yRgbyqqAMY8s8s_LxXIhmsKB5HGMya01iOLau6_8aIoUojPjsH1gV06zKLtsy5bcgRZfwWOllImmmAs_5opCrZa-nWu4mFwGkqxU5SOyKiR2WCvxaxCLcDj9p_VKzjqVXaNY70Drt5579gKLpmSsA8C_IsrPyNpg8eInPA-pCR7SVLFvquFEuuWUGidGK-P1SJTR-WSy1bkLC-b7gQ9j1rIu5s9kLd38T4822uvjuaXS9vZhIhOL0cQ3LGdkjpHfpuhX-8IIACQmR0D1-AIASJtlyxa7lferNaNU8rxak8CLE6hZqKb0aFRpAmJjfSL0HNKJDJuenm9iHyMaXHBAJSLNc6e0tufmVVFbImTJU0pHiN8jjkMGPOEjK04k9CD4ViXknh2dzjs_43E8ySP9NcjfduU3Zq4YghKTzIKs	pnac163.pdf	N/A	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/11426154/		11426154	Courtney Baird	Have to buy PDF	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3594078/	nihms397478.pdf	23328325	Courtney Baird		
https://pubmed.ncbi.nlm.nih.gov/25569886/		25569886	Courtney Baird	No PDF available	pnac163 (#41)
https://link.springer.com/article/10.1007/s10067-021-05968-1	/mnt/clbp/pdfs/s10067-021-05968-1.pdf	34674081	Gianna Bozzo 	pnad008.pdf (#17) 	
https://www.zora.uzh.ch/id/eprint/226125/	/mnt/clbp/pdfs/ZORA_226125.pdf	36525387	Gianna Bozzo 	full length only availble through PDF 	
https://academic.oup.com/aje/article/157/6/552/75003?login=true	/mnt/clbp/pdfs/kwg017.pdf	12631546	Gianna Bozzo 	pnad008.pdf (#28) 	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4868633/	/mnt/clbp/pdfs/nihms754641.pdf	26835782	Gianna Bozzo 	pnad008.pdf (#31)	
https://pubmed.ncbi.nlm.nih.gov/17022849/	/mnt/clbp/pdfs/painDETECT.pdf	17022849	Gianna Bozzo 	Full length only available through PDF 	
https://www.sciencedirect.com/science/article/pii/S0304395903004299?via%3Dihub	/mnt/clbp/pdfs/1-s2.0-S0304395903004299-main.pdf	14715402	Gianna Bozzo 	pnad008.pdf (#33) 	
