Description1,Description2,similarity
"""d2:Tissue_Tolerance.txt""","""d4:Systemic_Attributes.txt""",0.16666666666666666
"""d3:Societal_Attributes.txt""","""d1:Psychological_Attributes.txt""",0.16666666666666666
"""d3:Socio-demographics.txt""","""d2:Physical_Activity.txt""",0.16666666666666666
"""d4:Systemic_Attributes.txt""","""d2:Tissue_Tolerance.txt""",0.16666666666666666
"""d4:Systemic_Attributes.txt""","""d6:Central_Schema_Attributes.txt""",0.16666666666666666
"""d6:Central_Pain_Processing.txt""","""d2:Sensorimotor_Control.txt""",0.16666666666666666
"""d6:Central_Schema_Attributes.txt""","""d1:Psychological_Resources.txt""",0.16666666666666666
"""d6:Central_Schema_Attributes.txt""","""d2:Load.txt""",0.16666666666666666
"""d6:Central_Schema_Attributes.txt""","""d4:Systemic_Attributes.txt""",0.16666666666666666
"""d1:Pain_Beliefs.txt""","""d1:Personality_Traits.txt""",0.16
"""d1:Personality_Traits.txt""","""d1:Pain_Beliefs.txt""",0.16
"""d1:Personality_Traits.txt""","""d6:Pain_Perception.txt""",0.16
"""d6:Pain_Perception.txt""","""d1:Personality_Traits.txt""",0.16
"""d1:Coping_Skills.txt""","""d2:Tissue_Tolerance.txt""",0.15789473684210525
"""d1:Pain_Beliefs.txt""","""d2:Tissue_Tolerance.txt""",0.15789473684210525
"""d2:Tissue_Tolerance.txt""","""d1:Coping_Skills.txt""",0.15789473684210525
"""d2:Tissue_Tolerance.txt""","""d1:Pain_Beliefs.txt""",0.15789473684210525
"""d2:Tissue_Tolerance.txt""","""d6:Peripheral_Stimulus.txt""",0.15789473684210525
"""d6:Peripheral_Stimulus.txt""","""d2:Tissue_Tolerance.txt""",0.15789473684210525
"""d1:Personality_Traits.txt""","""d6:Central_Pain_Processing.txt""",0.15384615384615385
"""d1:Psychological_Attributes.txt""","""d5:Genetics.txt""",0.15384615384615385
"""d1:Psychological_Attributes.txt""","""d6:Pain_Experience.txt""",0.15384615384615385
"""d1:Psychological_Resources.txt""","""d6:Functional_Consequence.txt""",0.15384615384615385
"""d2:Biomechanical_Attributes.txt""","""d2:Load.txt""",0.15384615384615385
"""d2:Load.txt""","""d2:Biomechanical_Attributes.txt""",0.15384615384615385
"""d2:Sensorimotor_Control.txt""","""d2:Tissue_Tolerance.txt""",0.15384615384615385
"""d2:Tissue_Tolerance.txt""","""d2:Sensorimotor_Control.txt""",0.15384615384615385
"""d2:Tissue_Tolerance.txt""","""d5:Familial_Attributes.txt""",0.15384615384615385
"""d5:Familial_Attributes.txt""","""d2:Tissue_Tolerance.txt""",0.15384615384615385
"""d5:Genetics.txt""","""d1:Psychological_Attributes.txt""",0.15384615384615385
"""d6:Anatomy.txt""","""d6:Central_Pain_Processing.txt""",0.15384615384615385
"""d6:Central_Pain_Processing.txt""","""d1:Personality_Traits.txt""",0.15384615384615385
"""d6:Central_Pain_Processing.txt""","""d6:Anatomy.txt""",0.15384615384615385
"""d6:Central_Schema_Attributes.txt""","""d6:Peripheral_Stimulus.txt""",0.15384615384615385
"""d6:Functional_Consequence.txt""","""d1:Psychological_Resources.txt""",0.15384615384615385
"""d6:Pain_Experience.txt""","""d1:Psychological_Attributes.txt""",0.15384615384615385
"""d6:Peripheral_Stimulus.txt""","""d6:Central_Schema_Attributes.txt""",0.15384615384615385
"""d1:Coping_Skills.txt""","""d6:Functional_Consequence.txt""",0.15
"""d1:Pain_Beliefs.txt""","""d6:Functional_Consequence.txt""",0.15
"""d2:Biomechanical_Attributes.txt""","""d6:Peripheral_Stimulus.txt""",0.15
"""d6:Functional_Consequence.txt""","""d1:Coping_Skills.txt""",0.15
"""d6:Functional_Consequence.txt""","""d1:Pain_Beliefs.txt""",0.15
"""d6:Peripheral_Stimulus.txt""","""d2:Biomechanical_Attributes.txt""",0.15
"""d1:Affective_State.txt""","""d6:Functional_Consequence.txt""",0.14814814814814814
"""d2:Biomechanical_Attributes.txt""","""d2:Sensorimotor_Control.txt""",0.14814814814814814
"""d2:Sensorimotor_Control.txt""","""d2:Biomechanical_Attributes.txt""",0.14814814814814814
"""d3:Personal_Medical_History.txt""","""d6:Functional_Consequence.txt""",0.14814814814814814
"""d6:Functional_Consequence.txt""","""d1:Affective_State.txt""",0.14814814814814814
"""d6:Functional_Consequence.txt""","""d3:Personal_Medical_History.txt""",0.14814814814814814
"""d1:Affective_State.txt""","""d5:Genetics.txt""",0.14285714285714285
"""d1:Affective_State.txt""","""d6:Pain_Experience.txt""",0.14285714285714285
"""d1:Coping_Skills.txt""","""d5:Genetics.txt""",0.14285714285714285
"""d1:Pain_Beliefs.txt""","""d3:Societal_Attributes.txt""",0.14285714285714285
"""d1:Pain_Beliefs.txt""","""d6:Pain_Experience.txt""",0.14285714285714285
"""d1:Psychological_Resources.txt""","""d3:Societal_Attributes.txt""",0.14285714285714285
"""d3:Societal_Attributes.txt""","""d1:Pain_Beliefs.txt""",0.14285714285714285
"""d3:Societal_Attributes.txt""","""d1:Psychological_Resources.txt""",0.14285714285714285
"""d3:Societal_Attributes.txt""","""d4:Systemic_Attributes.txt""",0.14285714285714285
"""d4:Systemic_Attributes.txt""","""d3:Societal_Attributes.txt""",0.14285714285714285
"""d5:Familial_Attributes.txt""","""d6:Functional_Consequence.txt""",0.14285714285714285
"""d5:Genetics.txt""","""d1:Affective_State.txt""",0.14285714285714285
"""d5:Genetics.txt""","""d1:Coping_Skills.txt""",0.14285714285714285
"""d5:Genetics.txt""","""d6:Pain_Perception.txt""",0.14285714285714285
"""d6:Central_Schema_Attributes.txt""","""d6:Nociception_and_Neuropathic_Pain.txt""",0.14285714285714285
"""d6:Functional_Consequence.txt""","""d5:Familial_Attributes.txt""",0.14285714285714285
"""d6:Nociception_and_Neuropathic_Pain.txt""","""d6:Central_Schema_Attributes.txt""",0.14285714285714285
"""d6:Pain_Experience.txt""","""d1:Affective_State.txt""",0.14285714285714285
"""d6:Pain_Experience.txt""","""d1:Pain_Beliefs.txt""",0.14285714285714285
"""d6:Pain_Experience.txt""","""d6:Pain_Perception.txt""",0.14285714285714285
"""d6:Pain_Perception.txt""","""d5:Genetics.txt""",0.14285714285714285
"""d6:Pain_Perception.txt""","""d6:Pain_Experience.txt""",0.14285714285714285
"""d1:Affective_State.txt""","""d1:Psychological_Attributes.txt""",0.13636363636363635
"""d1:Psychological_Attributes.txt""","""d1:Affective_State.txt""",0.13636363636363635
"""d1:Affective_State.txt""","""d2:Physical_Activity.txt""",0.13333333333333333
"""d1:Affective_State.txt""","""d6:Pain_Perception.txt""",0.13333333333333333
"""d1:Pain_Beliefs.txt""","""d2:Sensorimotor_Control.txt""",0.13333333333333333
"""d1:Psychological_Attributes.txt""","""d6:Pain_Perception.txt""",0.13333333333333333
"""d2:Physical_Activity.txt""","""d1:Affective_State.txt""",0.13333333333333333
"""d2:Physical_Activity.txt""","""d2:Sensorimotor_Control.txt""",0.13333333333333333
"""d2:Sensorimotor_Control.txt""","""d1:Pain_Beliefs.txt""",0.13333333333333333
"""d2:Sensorimotor_Control.txt""","""d2:Physical_Activity.txt""",0.13333333333333333
"""d3:Societal_Attributes.txt""","""d6:Central_Pain_Processing.txt""",0.13333333333333333
"""d4:Physical_co-morbidities.txt""","""d6:Functional_Consequence.txt""",0.13333333333333333
"""d6:Central_Pain_Processing.txt""","""d3:Societal_Attributes.txt""",0.13333333333333333
"""d6:Functional_Consequence.txt""","""d4:Physical_co-morbidities.txt""",0.13333333333333333
"""d6:Pain_Perception.txt""","""d1:Affective_State.txt""",0.13333333333333333
"""d6:Pain_Perception.txt""","""d1:Psychological_Attributes.txt""",0.13333333333333333
"""d1:Affective_State.txt""","""d1:Psychological_Resources.txt""",0.13043478260869565
"""d1:Psychological_Resources.txt""","""d1:Affective_State.txt""",0.13043478260869565
"""d2:Tissue_Tolerance.txt""","""d4:Inflammation.txt""",0.13043478260869565
"""d4:Inflammation.txt""","""d2:Tissue_Tolerance.txt""",0.13043478260869565
"""d1:Coping_Skills.txt""","""d1:Psychological_Resources.txt""",0.125
"""d1:Coping_Skills.txt""","""d6:Central_Pain_Processing.txt""",0.125
"""d1:Psychological_Attributes.txt""","""d1:Psychological_Resources.txt""",0.125
"""d1:Psychological_Attributes.txt""","""d4:Systemic_Attributes.txt""",0.125
"""d1:Psychological_Resources.txt""","""d1:Coping_Skills.txt""",0.125
"""d1:Psychological_Resources.txt""","""d1:Psychological_Attributes.txt""",0.125
"""d1:Psychological_Resources.txt""","""d2:Physical_Activity.txt""",0.125
"""d2:Physical_Activity.txt""","""d1:Psychological_Resources.txt""",0.125
"""d3:Occupation.txt""","""d6:Pain_Experience.txt""",0.125
"""d4:Physical_co-morbidities.txt""","""d5:Genetics.txt""",0.125
"""d4:Physical_co-morbidities.txt""","""d6:Central_Schema_Attributes.txt""",0.125
"""d4:Systemic_Attributes.txt""","""d1:Coping_Skills.txt""",0.125
"""d4:Systemic_Attributes.txt""","""d1:Pain_Beliefs.txt""",0.125
"""d4:Systemic_Attributes.txt""","""d1:Psychological_Attributes.txt""",0.125
"""d5:Genetics.txt""","""d4:Physical_co-morbidities.txt""",0.125
"""d5:Genetics.txt""","""d6:Anatomy.txt""",0.125
"""d6:Anatomy.txt""","""d5:Genetics.txt""",0.125
"""d6:Central_Pain_Processing.txt""","""d1:Coping_Skills.txt""",0.125
"""d6:Central_Pain_Processing.txt""","""d1:Pain_Beliefs.txt""",0.125
"""d6:Central_Schema_Attributes.txt""","""d4:Physical_co-morbidities.txt""",0.125
"""d6:Nociception_and_Neuropathic_Pain.txt""","""d6:Pain_Perception.txt""",0.125
"""d6:Pain_Experience.txt""","""d3:Occupation.txt""",0.125
"""d3:Socio-demographics.txt""","""d6:Pain_Perception.txt""",0.12
"""d4:Inflammation.txt""","""d5:Genetics.txt""",0.12
"""d5:Genetics.txt""","""d4:Inflammation.txt""",0.12
"""d1:Personality_Traits.txt""","""d3:Societal_Attributes.txt""",0.11764705882352941
"""d2:Load.txt""","""d6:Nociception_and_Neuropathic_Pain.txt""",0.11764705882352941
"""d3:Societal_Attributes.txt""","""d1:Personality_Traits.txt""",0.11764705882352941
"""d4:Inflammation.txt""","""d6:Central_Schema_Attributes.txt""",0.11764705882352941
"""d5:Familial_Attributes.txt""","""d1:Pain_Beliefs.txt""",0.11764705882352941
"""d5:Familial_Attributes.txt""","""d6:Peripheral_Stimulus.txt""",0.11764705882352941
"""d6:Nociception_and_Neuropathic_Pain.txt""","""d2:Load.txt""",0.11764705882352941
"""d6:Peripheral_Stimulus.txt""","""d5:Familial_Attributes.txt""",0.11764705882352941
"""d1:Personality_Traits.txt""","""d1:Coping_Skills.txt""",0.11538461538461539
"""d2:Physical_Activity.txt""","""d6:Anatomy.txt""",0.11538461538461539
"""d6:Anatomy.txt""","""d2:Physical_Activity.txt""",0.11538461538461539
"""d1:Personality_Traits.txt""","""d1:Psychological_Attributes.txt""",0.1111111111111111
"""d1:Psychological_Attributes.txt""","""d1:Personality_Traits.txt""",0.1111111111111111
"""d1:Psychological_Attributes.txt""","""d5:Familial_Attributes.txt""",0.1111111111111111
"""d1:Psychological_Resources.txt""","""d3:Socio-demographics.txt""",0.1111111111111111
"""d1:Psychological_Resources.txt""","""d4:Systemic_Attributes.txt""",0.1111111111111111
"""d2:Tissue_Tolerance.txt""","""d6:Pain_Experience.txt""",0.1111111111111111
"""d3:Societal_Attributes.txt""","""d4:Physical_co-morbidities.txt""",0.1111111111111111
"""d3:Socio-demographics.txt""","""d1:Psychological_Resources.txt""",0.1111111111111111
"""d4:Inflammation.txt""","""d6:Peripheral_Stimulus.txt""",0.1111111111111111
"""d4:Physical_co-morbidities.txt""","""d3:Societal_Attributes.txt""",0.1111111111111111
"""d4:Systemic_Attributes.txt""","""d1:Psychological_Resources.txt""",0.1111111111111111
"""d5:Familial_Attributes.txt""","""d1:Psychological_Attributes.txt""",0.1111111111111111
"""d5:Familial_Attributes.txt""","""d6:Central_Pain_Processing.txt""",0.1111111111111111
"""d5:Familial_Attributes.txt""","""d6:Nociception_and_Neuropathic_Pain.txt""",0.1111111111111111
"""d6:Central_Pain_Processing.txt""","""d5:Familial_Attributes.txt""",0.1111111111111111
"""d6:Nociception_and_Neuropathic_Pain.txt""","""d5:Familial_Attributes.txt""",0.1111111111111111
"""d6:Pain_Experience.txt""","""d2:Tissue_Tolerance.txt""",0.1111111111111111
"""d6:Peripheral_Stimulus.txt""","""d4:Inflammation.txt""",0.1111111111111111
"""d4:Inflammation.txt""","""d6:Central_Pain_Processing.txt""",0.10714285714285714
"""d2:Load.txt""","""d6:Anatomy.txt""",0.10526315789473684
"""d3:Socio-demographics.txt""","""d5:Familial_Attributes.txt""",0.10526315789473684
"""d4:Physical_co-morbidities.txt""","""d6:Central_Pain_Processing.txt""",0.10526315789473684
"""d4:Physical_co-morbidities.txt""","""d6:Nociception_and_Neuropathic_Pain.txt""",0.10526315789473684
"""d5:Familial_Attributes.txt""","""d3:Socio-demographics.txt""",0.10526315789473684
"""d6:Anatomy.txt""","""d2:Load.txt""",0.10526315789473684
"""d6:Functional_Consequence.txt""","""d6:Pain_Experience.txt""",0.10526315789473684
"""d6:Nociception_and_Neuropathic_Pain.txt""","""d4:Physical_co-morbidities.txt""",0.10526315789473684
"""d6:Pain_Experience.txt""","""d6:Functional_Consequence.txt""",0.10526315789473684
"""d2:Sensorimotor_Control.txt""","""d6:Pain_Experience.txt""",0.10344827586206896
"""d6:Pain_Experience.txt""","""d2:Sensorimotor_Control.txt""",0.10344827586206896
"""d1:Personality_Traits.txt""","""d5:Familial_Attributes.txt""",0.1
"""d2:Load.txt""","""d4:Inflammation.txt""",0.1
"""d2:Load.txt""","""d5:Familial_Attributes.txt""",0.1
"""d2:Physical_Activity.txt""","""d2:Tissue_Tolerance.txt""",0.1
"""d2:Tissue_Tolerance.txt""","""d6:Pain_Perception.txt""",0.1
"""d3:Occupation.txt""","""d1:Psychological_Attributes.txt""",0.1
"""d3:Occupation.txt""","""d3:Socio-demographics.txt""",0.1
"""d3:Socio-demographics.txt""","""d3:Occupation.txt""",0.1
"""d4:Inflammation.txt""","""d2:Load.txt""",0.1
"""d4:Inflammation.txt""","""d6:Anatomy.txt""",0.1
"""d4:Physical_co-morbidities.txt""","""d1:Psychological_Attributes.txt""",0.1
"""d4:Systemic_Attributes.txt""","""d5:Familial_Attributes.txt""",0.1
"""d5:Genetics.txt""","""d6:Pain_Experience.txt""",0.1
"""d6:Anatomy.txt""","""d4:Inflammation.txt""",0.1
"""d6:Pain_Experience.txt""","""d5:Genetics.txt""",0.1
"""d2:Sensorimotor_Control.txt""","""d1:Coping_Skills.txt""",0.0967741935483871
"""d2:Physical_Activity.txt""","""d6:Functional_Consequence.txt""",0.09523809523809523
"""d4:Inflammation.txt""","""d5:Familial_Attributes.txt""",0.09523809523809523
"""d4:Physical_co-morbidities.txt""","""d6:Anatomy.txt""",0.09523809523809523
"""d6:Anatomy.txt""","""d4:Physical_co-morbidities.txt""",0.09523809523809523
"""d6:Functional_Consequence.txt""","""d6:Pain_Perception.txt""",0.09523809523809523
"""d6:Nociception_and_Neuropathic_Pain.txt""","""d2:Tissue_Tolerance.txt""",0.09523809523809523
"""d2:Biomechanical_Attributes.txt""","""d6:Nociception_and_Neuropathic_Pain.txt""",0.09090909090909091
"""d2:Load.txt""","""d4:Physical_co-morbidities.txt""",0.09090909090909091
"""d3:Occupation.txt""","""d1:Psychological_Resources.txt""",0.09090909090909091
"""d3:Socio-demographics.txt""","""d1:Affective_State.txt""",0.09090909090909091
"""d4:Physical_co-morbidities.txt""","""d2:Load.txt""",0.09090909090909091
"""d4:Systemic_Attributes.txt""","""d4:Physical_co-morbidities.txt""",0.09090909090909091
"""d6:Nociception_and_Neuropathic_Pain.txt""","""d2:Biomechanical_Attributes.txt""",0.09090909090909091
"""d2:Sensorimotor_Control.txt""","""d1:Psychological_Attributes.txt""",0.08695652173913043
"""d3:Socio-demographics.txt""","""d6:Functional_Consequence.txt""",0.08695652173913043
"""d6:Anatomy.txt""","""d2:Tissue_Tolerance.txt""",0.08695652173913043
"""d4:Inflammation.txt""","""d2:Sensorimotor_Control.txt""",0.08571428571428572
"""d1:Personality_Traits.txt""","""d6:Functional_Consequence.txt""",0.08333333333333333
"""d3:Personal_Medical_History.txt""","""d1:Psychological_Resources.txt""",0.08333333333333333
"""d3:Personal_Medical_History.txt""","""d4:Systemic_Attributes.txt""",0.08333333333333333
"""d4:Systemic_Attributes.txt""","""d3:Personal_Medical_History.txt""",0.08333333333333333
"""d6:Nociception_and_Neuropathic_Pain.txt""","""d2:Physical_Activity.txt""",0.08
"""d2:Load.txt""","""d2:Tissue_Tolerance.txt""",0.07692307692307693
"""d3:Occupation.txt""","""d1:Affective_State.txt""",0.07692307692307693
"""d3:Occupation.txt""","""d3:Personal_Medical_History.txt""",0.07692307692307693
"""d3:Personal_Medical_History.txt""","""d3:Occupation.txt""",0.07692307692307693
"""d3:Socio-demographics.txt""","""d1:Coping_Skills.txt""",0.07692307692307693
"""d3:Socio-demographics.txt""","""d1:Pain_Beliefs.txt""",0.07692307692307693
"""d2:Biomechanical_Attributes.txt""","""d4:Systemic_Attributes.txt""",0.07142857142857142
"""d5:Demographics.txt""","""d3:Societal_Attributes.txt""",0.07142857142857142
"""d6:Nociception_and_Neuropathic_Pain.txt""","""d6:Anatomy.txt""",0.07142857142857142
"""d3:Occupation.txt""","""d6:Functional_Consequence.txt""",0.0625
"""d3:Personal_Medical_History.txt""","""d1:Coping_Skills.txt""",0.0625
"""d3:Personal_Medical_History.txt""","""d2:Physical_Activity.txt""",0.0625
"""d3:Personal_Medical_History.txt""","""d6:Pain_Perception.txt""",0.0625
"""d2:Load.txt""","""d2:Physical_Activity.txt""",0.058823529411764705
"""d3:Personal_Medical_History.txt""","""d3:Socio-demographics.txt""",0.058823529411764705
"""d2:Biomechanical_Attributes.txt""","""d2:Tissue_Tolerance.txt""",0.05555555555555555
"""d3:Personal_Medical_History.txt""","""d4:Inflammation.txt""",0.05555555555555555
"""d3:Occupation.txt""","""d1:Coping_Skills.txt""",0.05263157894736842
"""d3:Occupation.txt""","""d2:Physical_Activity.txt""",0.05263157894736842
"""d3:Occupation.txt""","""d6:Pain_Perception.txt""",0.05263157894736842
"""d3:Personal_Medical_History.txt""","""d1:Affective_State.txt""",0.05
"""d5:Demographics.txt""","""d6:Functional_Consequence.txt""",0.047619047619047616
"""d2:Biomechanical_Attributes.txt""","""d1:Coping_Skills.txt""",0.045454545454545456
"""d2:Biomechanical_Attributes.txt""","""d1:Pain_Beliefs.txt""",0.045454545454545456
"""d2:Biomechanical_Attributes.txt""","""d2:Physical_Activity.txt""",0.045454545454545456
"""d5:Demographics.txt""","""d6:Pain_Experience.txt""",0.045454545454545456
"""d5:Demographics.txt""","""d1:Coping_Skills.txt""",0.041666666666666664
"""d5:Demographics.txt""","""d1:Pain_Beliefs.txt""",0.041666666666666664
"""d5:Demographics.txt""","""d1:Affective_State.txt""",0.03125
